,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
20,Wales,won,67.0,14.0,53.0,9.0,8.0,2.0,0.0,v Italy,Millennium Stadium,19 Mar 2016
21,Wales,lost,21.0,25.0,-4.0,3.0,3.0,0.0,0.0,v England,Twickenham,12 Mar 2016
22,Wales,won,19.0,10.0,9.0,1.0,1.0,4.0,0.0,v France,Millennium Stadium,26 Feb 2016
23,Wales,won,27.0,23.0,4.0,3.0,3.0,2.0,0.0,v Scotland,Millennium Stadium,13 Feb 2016
24,Wales,draw,16.0,16.0,0.0,1.0,1.0,3.0,0.0,v Ireland,Lansdowne Road,7 Feb 2016
25,Wales,lost,19.0,23.0,-4.0,1.0,1.0,3.0,1.0,v South Africa,Twickenham,17 Oct 2015
26,Wales,lost,6.0,15.0,-9.0,0.0,0.0,2.0,0.0,v Australia,Twickenham,10 Oct 2015
27,Wales,won,23.0,13.0,10.0,2.0,2.0,3.0,0.0,v Fiji,Millennium Stadium,1 Oct 2015
28,Wales,won,28.0,25.0,3.0,1.0,1.0,7.0,0.0,v England,Twickenham,26 Sep 2015
29,Wales,won,54.0,9.0,45.0,8.0,7.0,0.0,0.0,v Uruguay,Millennium Stadium,20 Sep 2015
30,Wales,won,23.0,19.0,4.0,1.0,0.0,6.0,0.0,v Italy,Millennium Stadium,5 Sep 2015
31,Wales,won,16.0,10.0,6.0,1.0,1.0,3.0,0.0,v Ireland,Lansdowne Road,29 Aug 2015
32,Wales,lost,21.0,35.0,-14.0,3.0,3.0,0.0,0.0,v Ireland,Millennium Stadium,8 Aug 2015
33,Wales,won,61.0,20.0,41.0,8.0,6.0,3.0,0.0,v Italy,Rome,21 Mar 2015
34,Wales,won,23.0,16.0,7.0,1.0,0.0,5.0,1.0,v Ireland,Millennium Stadium,14 Mar 2015
35,Wales,won,20.0,13.0,7.0,1.0,0.0,5.0,0.0,v France,Stade de France,28 Feb 2015
36,Wales,won,26.0,23.0,3.0,2.0,2.0,4.0,0.0,v Scotland,Murrayfield,15 Feb 2015
37,Wales,lost,16.0,21.0,-5.0,1.0,1.0,2.0,1.0,v England,Millennium Stadium,6 Feb 2015
38,Wales,won,12.0,6.0,6.0,0.0,0.0,4.0,0.0,v South Africa,Millennium Stadium,29 Nov 2014
39,Wales,lost,16.0,34.0,-18.0,1.0,1.0,3.0,0.0,v New Zealand,Millennium Stadium,22 Nov 2014
40,Wales,won,17.0,13.0,4.0,3.0,1.0,0.0,0.0,v Fiji,Millennium Stadium,15 Nov 2014
41,Wales,lost,28.0,33.0,-5.0,4.0,4.0,0.0,0.0,v Australia,Millennium Stadium,8 Nov 2014
42,Wales,lost,30.0,31.0,-1.0,3.0,3.0,3.0,0.0,v South Africa,Nelspruit,21 Jun 2014
43,Wales,lost,16.0,38.0,-22.0,1.0,1.0,1.0,2.0,v South Africa,Durban,14 Jun 2014
44,Wales,won,51.0,3.0,48.0,7.0,5.0,2.0,0.0,v Scotland,Millennium Stadium,15 Mar 2014
45,Wales,lost,18.0,29.0,-11.0,0.0,0.0,6.0,0.0,v England,Twickenham,9 Mar 2014
46,Wales,won,27.0,6.0,21.0,2.0,1.0,5.0,0.0,v France,Millennium Stadium,21 Feb 2014
47,Wales,lost,3.0,26.0,-23.0,0.0,0.0,1.0,0.0,v Ireland,Lansdowne Road,8 Feb 2014
48,Wales,won,23.0,15.0,8.0,2.0,2.0,3.0,0.0,v Italy,Millennium Stadium,1 Feb 2014
0,France,-,0.0,0.0,0.0,-,-,-,-,v New Zealand,Dunedin,23 Jun 2018
1,France,-,0.0,0.0,0.0,-,-,-,-,v New Zealand,Wellington,16 Jun 2018
2,France,-,0.0,0.0,0.0,-,-,-,-,v New Zealand,Auckland,9 Jun 2018
3,France,lost,13.0,15.0,-2.0,1,1,2,0,v Ireland,Stade de France,3 Feb 2018
4,France,draw,23.0,23.0,0.0,2,2,3,0,v Japan,Paris,25 Nov 2017
